Frequency,MedianEnergy,MedianTime,MedianPower
4600000,1065.4700,177.7810,5.9932
4500000,1073.8300,177.8510,6.0378
4400000,1075.6700,178.3550,6.0310
4300000,1079.5500,179.6180,6.0103
4200000,1077.7600,179.9030,5.9908
4100000,1075.8600,179.9440,5.9789
4000000,1077.1200,180.2060,5.9772
3900000,1077.5900,180.5840,5.9672
3800000,1085.4200,182.4860,5.9479
3700000,1076.4000,181.1050,5.9435
3600000,1081.0900,182.0520,5.9384
3500000,1080.6300,182.1910,5.9313
3400000,1080.9900,182.4890,5.9235
3300000,1092.8000,184.7850,5.9139
3200000,1088.9100,184.2120,5.9112
3100000,1088.4700,184.2970,5.9061
3000000,1088.7600,184.3040,5.9074
2900000,1096.0500,185.5370,5.9075
2800000,1098.6800,186.1830,5.9011
2700000,1107.0800,187.5220,5.9037
2600000,1108.2800,187.6240,5.9069
2500000,1117.2200,189.3470,5.9004
2400000,1114.6400,189.4500,5.8835
2300000,1123.0900,191.1900,5.8742
2200000,1141.5700,194.4970,5.8694
2100000,1142.1700,194.8830,5.8608
2000000,1156.7300,197.6340,5.8529
1900000,1157.1700,197.8270,5.8494
1800000,1168.7200,199.7490,5.8509
1700000,1183.9200,202.6890,5.8411
1600000,1196.7300,205.0340,5.8367
1500000,1213.7500,208.0910,5.8328
1400000,1228.8600,210.5160,5.8374
1300000,1258.4200,215.4340,5.8413
1200000,1281.8000,219.5010,5.8396
1100000,1313.1600,225.1600,5.8321
1000000,1353.9800,232.2730,5.8293
900000,1393.5700,239.0240,5.8303
